S No.,States,"Total FRA Beneficiaries As Per ""MoTA*""",Total FRA Beneficiaries Registered,No. of FRA Beneficiaries Having Private Land,Extent of Land (in Acre),Employment Availed(2023-2024),,,,,
,,,,,,Current Year(2025-2026),,,Previous Year(2024-2025),,
,,,,,,HHs availed 100 Days,HHs availed 101 to 149 Days,HHs availed 150 Days,HHs availed 100 Days,HHs availed 101 to 149 Days,HHs availed 150 Days
1,2,3,4,5,6,7,8,9,10,11,12
1,ANDHRA PRADESH,64309,167805,12503,381361.02,956,14490,566,4469,66782,11315
2,ARUNACHAL PRADESH,0,3,2,24,0,0,0,0,0,0
3,ASSAM,36267,12184,990,6760.16,2,8,0,39,121,2
4,BIHAR,28,533,31,7385.96,1,0,0,2,17,0
5,CHHATTISGARH,306184,334093,140904,115709303,187,3953,894,1301,50913,18957
6,GOA,0,0,0,0,0,0,0,0,0,0
7,GUJARAT,42752,21994,8449,13286360320,20,180,5,126,3511,106
8,HARYANA,0,2,0,1,0,0,0,0,0,0
9,HIMACHAL PRADESH,346,30,2,1,0,0,0,0,2,0
10,JAMMU AND KASHMIR,0,122,13,18,0,1,0,0,2,0
11,JHARKHAND,15296,15259,5328,10261216.58,61,251,16,926,1212,68
12,KARNATAKA,6707,3292,376,1291955.7,1,12,0,10,208,5
13,KERALA,23167,7631,419,85213.22,30,246,6,472,3212,1728
14,LADAKH,0,0,0,0,0,0,0,0,0,0
15,MADHYA PRADESH,183608,211764,70326,3068398474,241,4103,129,737,18912,721
16,MAHARASHTRA,103797,97366,3519,4731738.37,44,1192,384,155,8807,4377
17,MANIPUR,0,47,45,217.7,0,0,0,0,0,0
18,MEGHALAYA,0,0,0,0,0,0,0,0,0,0
19,MIZORAM,0,0,0,0,0,0,0,0,0,0
20,NAGALAND,0,0,0,0,0,0,0,0,0,0
21,ODISHA,328580,393595,96825,7825790866,637,10360,378,3141,60849,9347
22,PUNJAB,0,6,1,0,0,0,0,0,0,0
23,RAJASTHAN,34040,12273,3891,195880933,21,142,0,474,1198,63
24,SIKKIM,0,3,1,10,0,0,0,0,0,0
25,TAMIL NADU,0,46,14,3,0,0,0,2,1,0
26,TELANGANA,105061,32569,866,178354.64,52,1078,16,493,5949,175
27,TRIPURA,120473,109543,15879,30472509.53,685,3794,311,2553,38879,4000
28,UTTAR PRADESH,17705,769,123,43001316,3,4,0,45,16,0
29,UTTARAKHAND,0,18,12,4,0,0,0,1,3,0
30,WEST BENGAL,32821,15842,1524,8961594.34,0,0,0,0,2,0
31,ANDAMAN AND NICOBAR,0,0,0,0,0,0,0,0,0,0
32,DN HAVELI AND DD,0,0,0,0,0,0,0,0,0,0
33,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0
34,PUDUCHERRY,0,0,0,0,0,0,0,0,0,0
,Total,1421141,1436789,362043,24591519580,2941,39814,2705,14946,260596,50864
