village_name,census_code,district,block,url
"List of Odisha districts for Village CodesTheOdisha Village Codesdirectory provides information onCensus codes of Districts, Talukas and Villages in Odisha state. The below code table helps you to browse the list of census code information district-wise.Sl. No.District NameCensus District Code1Anugul3842Balangir3933Baleshwar3774Bargarh3705Baudh3916Bhadrak3787Cuttack3818Debagarh3739Dhenkanal38310Gajapati38911Ganjam38812Jagatsinghapur38013Jajapur38214Jharsuguda37115Kalahandi39516Kandhamal39017Kendrapara37918Kendujhar37519Khordha38620Koraput39821Malkangiri39922Mayurbhanj37623Nabarangapur39724Nayagarh38525Nuapada39426Puri38727Rayagada39628Sambalpur37229Subarnapur39230Sundargarh374",,All Districts,All Blocks,
Anugul,,All Districts,All Blocks,https://odisha.villagecodes.in/anugul/
Balangir,,All Districts,All Blocks,https://odisha.villagecodes.in/balangir/
Baleshwar,,All Districts,All Blocks,https://odisha.villagecodes.in/baleshwar/
Bargarh,,All Districts,All Blocks,https://odisha.villagecodes.in/bargarh/
Baudh,,All Districts,All Blocks,https://odisha.villagecodes.in/baudh/
Bhadrak,,All Districts,All Blocks,https://odisha.villagecodes.in/bhadrak/
Cuttack,,All Districts,All Blocks,https://odisha.villagecodes.in/cuttack/
Debagarh,,All Districts,All Blocks,https://odisha.villagecodes.in/debagarh/
Dhenkanal,,All Districts,All Blocks,https://odisha.villagecodes.in/dhenkanal/
Gajapati,,All Districts,All Blocks,https://odisha.villagecodes.in/gajapati/
Ganjam,,All Districts,All Blocks,https://odisha.villagecodes.in/ganjam/
Jagatsinghapur,,All Districts,All Blocks,https://odisha.villagecodes.in/jagatsinghapur/
Jajapur,,All Districts,All Blocks,https://odisha.villagecodes.in/jajapur/
Jharsuguda,,All Districts,All Blocks,https://odisha.villagecodes.in/jharsuguda/
Kalahandi,,All Districts,All Blocks,https://odisha.villagecodes.in/kalahandi/
Kandhamal,,All Districts,All Blocks,https://odisha.villagecodes.in/kandhamal/
Kendrapara,,All Districts,All Blocks,https://odisha.villagecodes.in/kendrapara/
Kendujhar,,All Districts,All Blocks,https://odisha.villagecodes.in/kendujhar/
Khordha,,All Districts,All Blocks,https://odisha.villagecodes.in/khordha/
Koraput,,All Districts,All Blocks,https://odisha.villagecodes.in/koraput/
Malkangiri,,All Districts,All Blocks,https://odisha.villagecodes.in/malkangiri/
Mayurbhanj,,All Districts,All Blocks,https://odisha.villagecodes.in/mayurbhanj/
Nabarangapur,,All Districts,All Blocks,https://odisha.villagecodes.in/nabarangapur/
Nayagarh,,All Districts,All Blocks,https://odisha.villagecodes.in/nayagarh/
Nuapada,,All Districts,All Blocks,https://odisha.villagecodes.in/nuapada/
Puri,,All Districts,All Blocks,https://odisha.villagecodes.in/puri/
Rayagada,,All Districts,All Blocks,https://odisha.villagecodes.in/rayagada/
